Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Burglary
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"         Oklahoma City Police Dept Oklahoma 1995 - The increase in murders from 1994 to 1995 was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City."

"         Salem Police Dept Oregon 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Allentown City Police Dept Pennsylvania 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Philadelphia Police Dept Pennsylvania 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Pittsburgh Pennsylvania 1991 - 1991 aggravated assault figures are not comparable to prior years due to a change in reporting procedures."

"         Providence Police Dept Rhode Island 2007 - Because of changes in the state/local agency's reporting practices, 2007 figures are not comparable to previous years' data."

"         Anderson County Sheriff Department South Carolina 2008 - The FBI determined that the agency's 2008 burglary data were overreported."

"         Columbia Police Dept South Carolina 1999 - Due to changes in reporting practices, 1999 larceny-theft figure is not comparable to previous years' data"

"         Columbia Police Dept South Carolina 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Sioux Falls Police Dept South Dakota 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Clarksville Police Dept Tennessee 1998 - Due to reporting changes or annexations, 1998 figures are not comparable to previous years' data."

"         Knox County Sheriff Office Tennessee 1998 - Due to reporting changes or annexations, 1998 figures are not comparable to previous years' data."

"         Memphis Police Dept Tennessee 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Murfreesboro Police Dept Tennessee 1998 - Due to reporting changes or annexations, 1998 figures are not comparable to previous years' data."

"         Austin Police Dept Texas 1995 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Austin Police Dept Texas 1997 - Due to reporting changes or annexations, 1997 figures are not comparable to previous years' data."

"         Austin Police Dept Texas 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         El Paso Police Dept Texas 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         El Paso Police Dept Texas 2006 - Because of changes in the agency's reporting practices, 2006 figures are not comparable to previous years' data."
